dist,theta_true,n,k,abs_bias_lcc,abs_bias_ctrdm
Uniform,0.3,10000,3,0.001999,0.001999
Uniform,0.5,5,2,0.007152,0.007152
Uniform,0.5,5,3,0.00711,0.00711
Uniform,0.5,10,2,0.007625,0.007625
Uniform,0.5,10,3,0.007424,0.007424
Uniform,0.5,50,2,0.008676,0.008676
Uniform,0.5,50,3,0.008614,0.008614
Uniform,0.5,100,2,0.008794,0.008794
Uniform,0.5,100,3,0.008822,0.008822
Uniform,0.5,500,2,0.008977,0.008977
Uniform,0.5,500,3,0.009003,0.009003
Uniform,0.5,1000,2,0.009039,0.009039
Uniform,0.5,1000,3,0.00903,0.00903
Uniform,0.5,5000,2,0.009051,0.009051
Uniform,0.5,5000,3,0.009054,0.009054
Uniform,0.5,10000,2,0.00905,0.00905
Uniform,0.5,10000,3,0.009054,0.009054
Uniform,0.7,5,2,0.019291,0.019291
Uniform,0.7,5,3,0.018454,0.018454
Uniform,0.7,10,2,0.020316,0.020316
Uniform,0.7,10,3,0.019548,0.019548
Uniform,0.7,50,2,0.023048,0.023048
Uniform,0.7,50,3,0.022885,0.022885
Uniform,0.7,100,2,0.023415,0.023415
Uniform,0.7,100,3,0.023444,0.023444
Uniform,0.7,500,2,0.023882,0.023882
Uniform,0.7,500,3,0.023927,0.023927
Uniform,0.7,1000,2,0.024017,0.024017
Uniform,0.7,1000,3,0.023998,0.023998
Uniform,0.7,5000,2,0.024056,0.024056
Uniform,0.7,5000,3,0.024061,0.024061
Uniform,0.7,10000,2,0.024053,0.024053
Uniform,0.7,10000,3,0.024061,0.024061
Uniform,0.9,5,2,0.062305,0.062305
Uniform,0.9,5,3,0.038609,0.038609
Uniform,0.9,10,2,0.055178,0.055178
Uniform,0.9,10,3,0.040263,0.040263
Uniform,0.9,50,2,0.047287,0.047287
Uniform,0.9,50,3,0.046684,0.046684
Uniform,0.9,100,2,0.047856,0.047856
Uniform,0.9,100,3,0.047844,0.047844
Uniform,0.9,500,2,0.048771,0.048771
Uniform,0.9,500,3,0.048831,0.048831
Uniform,0.9,1000,2,0.04901,0.04901
Uniform,0.9,1000,3,0.048974,0.048974
Uniform,0.9,5000,2,0.049095,0.049095
Uniform,0.9,5000,3,0.049101,0.049101
Uniform,0.9,10000,2,0.049091,0.049091
Uniform,0.9,10000,3,0.049103,0.049103
